,Team Name,Year,Wins,Losses,OT Losses,Goals For (GF),Goals Against (GA)
0,Boston Bruins,1990,44,24,,299,264
1,Buffalo Sabres,1990,31,30,,292,278
2,Calgary Flames,1990,46,26,,344,263
3,Chicago Blackhawks,1990,49,23,,284,211
4,Detroit Red Wings,1990,34,38,,273,298
5,Edmonton Oilers,1990,37,37,,272,272
6,Hartford Whalers,1990,31,38,,238,276
7,Los Angeles Kings,1990,46,24,,340,254
8,Minnesota North Stars,1990,27,39,,256,266
9,Montreal Canadiens,1990,39,30,,273,249
10,New Jersey Devils,1990,32,33,,272,264
11,New York Islanders,1990,25,45,,223,290
12,New York Rangers,1990,36,31,,297,265
13,Philadelphia Flyers,1990,33,37,,252,267
14,Pittsburgh Penguins,1990,41,33,,342,305
15,Quebec Nordiques,1990,16,50,,236,354
16,St. Louis Blues,1990,47,22,,310,250
17,Toronto Maple Leafs,1990,23,46,,241,318
18,Vancouver Canucks,1990,28,43,,243,315
19,Washington Capitals,1990,37,36,,258,258
20,Winnipeg Jets,1990,26,43,,260,288
21,Boston Bruins,1991,36,32,,270,275
22,Buffalo Sabres,1991,31,37,,289,299
23,Calgary Flames,1991,31,37,,296,305
24,Chicago Blackhawks,1991,36,29,,257,236
25,Detroit Red Wings,1991,43,25,,320,256
26,Edmonton Oilers,1991,36,34,,295,297
27,Hartford Whalers,1991,26,41,,247,283
28,Los Angeles Kings,1991,35,31,,287,296
29,Minnesota North Stars,1991,32,42,,246,278
30,Montreal Canadiens,1991,41,28,,267,207
31,New Jersey Devils,1991,38,31,,289,259
32,New York Islanders,1991,34,35,,291,299
33,New York Rangers,1991,50,25,,321,246
34,Philadelphia Flyers,1991,32,37,,252,273
35,Pittsburgh Penguins,1991,39,32,,343,308
36,Quebec Nordiques,1991,20,48,,255,318
37,San Jose Sharks,1991,17,58,,219,359
38,St. Louis Blues,1991,36,33,,279,266
39,Toronto Maple Leafs,1991,30,43,,234,294
40,Vancouver Canucks,1991,42,26,,285,250
41,Washington Capitals,1991,45,27,,330,275
42,Winnipeg Jets,1991,33,32,,251,244
43,Boston Bruins,1992,51,26,,332,268
44,Buffalo Sabres,1992,38,36,,335,297
45,Calgary Flames,1992,43,30,,322,282
46,Chicago Blackhawks,1992,47,25,,279,230
47,Detroit Red Wings,1992,47,28,,369,280
48,Edmonton Oilers,1992,26,50,,242,337
49,Hartford Whalers,1992,26,52,,284,369
50,Los Angeles Kings,1992,39,35,,338,340
51,Minnesota North Stars,1992,36,38,,272,293
52,Montreal Canadiens,1992,48,30,,326,280
53,New Jersey Devils,1992,40,37,,308,299
54,New York Islanders,1992,40,37,,335,297
55,New York Rangers,1992,34,39,,304,308
56,Ottawa Senators,1992,10,70,,202,395
57,Philadelphia Flyers,1992,36,37,,319,319
58,Pittsburgh Penguins,1992,56,21,,367,268
59,Quebec Nordiques,1992,47,27,,351,300
60,San Jose Sharks,1992,11,71,,218,414
61,St. Louis Blues,1992,37,36,,282,278
62,Tampa Bay Lightning,1992,23,54,,245,332
63,Toronto Maple Leafs,1992,44,29,,288,241
64,Vancouver Canucks,1992,46,29,,346,278
65,Washington Capitals,1992,43,34,,325,286
66,Winnipeg Jets,1992,40,37,,322,320
67,Mighty Ducks of Anaheim,1993,33,46,,229,251
68,Boston Bruins,1993,42,29,,289,252
69,Buffalo Sabres,1993,43,32,,282,218
70,Calgary Flames,1993,42,29,,302,256
71,Chicago Blackhawks,1993,39,36,,254,240
72,Dallas Stars,1993,42,29,,286,265
73,Detroit Red Wings,1993,46,30,,356,275
74,Edmonton Oilers,1993,25,45,,261,305
75,Florida Panthers,1993,33,34,,233,233
76,Hartford Whalers,1993,27,48,,227,288
77,Los Angeles Kings,1993,27,45,,294,322
78,Montreal Canadiens,1993,41,29,,283,248
79,New Jersey Devils,1993,47,25,,306,220
80,New York Islanders,1993,36,36,,282,264
81,New York Rangers,1993,52,24,,299,231
82,Ottawa Senators,1993,14,61,,201,397
83,Philadelphia Flyers,1993,35,39,,294,314
84,Pittsburgh Penguins,1993,44,27,,299,285
85,Quebec Nordiques,1993,34,42,,277,292
86,San Jose Sharks,1993,33,35,,252,265
87,St. Louis Blues,1993,40,33,,270,283
88,Tampa Bay Lightning,1993,30,43,,224,251
89,Toronto Maple Leafs,1993,43,29,,280,243
90,Vancouver Canucks,1993,41,40,,279,276
91,Washington Capitals,1993,39,35,,277,263
92,Winnipeg Jets,1993,24,51,,245,344
93,Mighty Ducks of Anaheim,1994,16,27,,125,164
94,Boston Bruins,1994,27,18,,150,127
95,Buffalo Sabres,1994,22,19,,130,119
96,Calgary Flames,1994,24,17,,163,135
97,Chicago Blackhawks,1994,24,19,,156,115
98,Dallas Stars,1994,17,23,,136,135
99,Detroit Red Wings,1994,33,11,,180,117
100,Edmonton Oilers,1994,17,27,,136,183
101,Florida Panthers,1994,20,22,,115,127
102,Hartford Whalers,1994,19,24,,127,141
103,Los Angeles Kings,1994,16,23,,142,174
104,Montreal Canadiens,1994,18,23,,125,148
105,New Jersey Devils,1994,22,18,,136,121
