,Movie Name,Movie Rating,Year,Run TIme,Certificate
0,1. The Shawshank Redemption,9.2 (2M),1994,2h 22m,A
1,2. The Godfather,9.0 (2.8M),1972,2h 55m,A
2,3. The Dark Knight,9.0 (1.3M),2008,2h 32m,UA
3,4. The Godfather: Part II,9.0 (840K),1974,3h 22m,A
4,5. 12 Angry Men,9.0 (1.4M),1957,1h 36m,U
5,6. Schindler's List,9.0 (1.9M),1993,3h 15m,A
6,7. The Lord of the Rings: The Return of the King,8.9 (2.2M),2003,3h 21m,U
7,8. Pulp Fiction,8.8 (2M),1994,2h 34m,A
8,9. The Lord of the Rings: The Fellowship of the Ring,8.8 (794K),2001,2h 58m,U
9,"10. Il Buono, Il Brutto, Il Cattivo",8.8 (2.2M),1966,2h 41m,A
10,11. Forrest Gump,8.8 (2.3M),1994,2h 22m,UA
11,12. Fight Club,8.8 (1.7M),1999,2h 19m,A
12,13. The Lord of the Rings: The Two Towers,8.8 (2.5M),2002,2h 59m,UA
13,14. Inception,8.7 (1.4M),2010,2h 28m,UA
14,15. Star Wars: Episode V - The Empire Strikes Back,8.7 (2M),1980,2h 4m,UA
15,16. The Matrix,8.7 (1.2M),1999,2h 16m,A
16,17. GoodFellas,8.7 (1M),1990,2h 25m,A
17,18. One Flew Over the Cuckoo's Nest,8.6 (1.7M),1975,2h 13m,A
18,19. Se7en,8.6 (482K),1995,2h 7m,A
19,20. It's a Wonderful Life,8.6 (360K),1946,2h 10m,PG
20,21. Shichinin No Samurai,8.7 (2M),1954,3h 27m,U
21,22. Interstellar,8.6 (1.5M),2014,2h 49m,UA
22,23. The Silence of the Lambs,8.6 (1.5M),1991,1h 58m,A
23,24. Saving Private Ryan,8.6 (786K),1998,2h 49m,A
24,25. City of God,8.7 (293K),2002,2h 10m,A
25,26. Spider-man: Across the Spider-verse,8.6 (727K),2023,2h 20m,U
26,27. Life Is Beautiful,8.6 (1.4M),1997,1h 56m,U
27,28. The Green Mile,8.6 (1.4M),1999,3h 9m,UA
28,29. Star Wars: Episode IV - A New Hope,8.6 (1.1M),1977,2h 1m,U
29,30. Terminator 2: Judgment Day,8.5 (1.3M),1991,2h 17m,A
30,31. Back to the Future,8.6 (818K),1985,1h 56m,U
31,32. Spirited Away,8.5 (885K),2001,2h 5m,U
32,33. The Pianist,8.5 (704K),2002,2h 30m,13
33,34. Psycho,8.5 (901K),1960,1h 49m,A
34,35. Parasite,8.5 (1.6M),2019,2h 12m,A
35,36. Gladiator,8.5 (1.1M),2000,2h 35m,UA
36,37. The Lion King,8.5 (1.2M),1994,1h 28m,U
37,38. Léon,8.5 (1.2M),1994,1h 50m,A
38,39. American History X,8.5 (1.4M),1998,1h 59m,R
39,40. The Departed,8.5 (943K),2006,2h 31m,A
40,41. Whiplash,8.5 (1.4M),2014,1h 46m,A
41,42. The Prestige,8.5 (1.1M),2006,2h 10m,U
42,43. The Usual Suspects,8.5 (299K),1995,1h 46m,A
43,44. Grave of the Fireflies,8.6 (65K),1988,1h 29m,U
44,45. Seppuku,8.5 (595K),1962,2h 13m,Not Rated
45,46. Casablanca,8.5 (905K),1942,1h 42m,U
46,47. Intouchables,8.5 (254K),2011,1h 52m,UA
47,48. Modern Times,8.5 (276K),1936,1h 27m,G
48,49. Cinema Paradiso,8.5 (343K),1988,2h 35m,U
49,50. C'era Una Volta Il West,8.5 (512K),1968,2h 46m,U
50,51. Rear Window,8.5 (485K),1954,1h 52m,U
51,52. Oppenheimer,8.5 (926K),2023,3h,R
52,53. Alien,8.5 (192K),1979,1h 57m,R
53,54. City Lights,8.4 (696K),1931,1h 27m,G
54,55. Apocalypse Now,8.5 (1.6M),1979,2h 27m,R
55,56. Django Unchained,8.4 (1.3M),2012,2h 45m,A
56,57. Memento,8.4 (1M),2000,1h 53m,UA
57,58. Raiders of the Lost Ark,8.4 (1.2M),1981,1h 55m,A
58,59. WALL·E,8.4 (403K),2008,1h 38m,U
59,60. Das Leben der Anderen,8.4 (232K),2006,2h 17m,A
60,61. Sunset Blvd.,8.4 (208K),1950,1h 50m,Passed
61,62. Paths of Glory,8.4 (1.2M),1957,1h 28m,A
62,63. Avengers: Infinity War,8.4 (1.1M),2018,2h 29m,UA
63,64. The Shining,8.4 (233K),1980,2h 26m,A
64,65. The Great Dictator,8.4 (134K),1940,2h 5m,G
65,66. Witness for the Prosecution,8.4 (639K),1957,1h 56m,U
66,67. Spider-Man: Into the Spider-Verse,8.4 (748K),2018,1h 57m,U
67,68. Alien 2,8.4 (1.5M),1986,2h 17m,U
68,69. Inglourious Basterds,8.4 (1.8M),2009,2h 33m,A
69,70. The Dark Knight Rises,8.3 (1.2M),2012,2h 44m,UA
70,71. American Beauty,8.4 (509K),1999,2h 2m,UA
71,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4 (616K),1964,1h 35m,A
